timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack
5,19,72.26315789473684,64.0,48.6,64.0,100.0,100.0,100,40,Yes
10,25,113.36,64.0,38.60000000000001,64.0,224.0,224.0,255,32,No
15,18,107.72222222222223,64.0,39.7,64.0,193.0,224.0,224,32,No
20,19,95.89473684210526,64.0,60.6,64.0,64.0,224.0,224,47,No
25,17,97.0,64.0,40.2,50.0,100.0,224.0,224,32,No
30,18,108.94444444444444,64.0,47.0,64.0,209.0,209.0,224,22,No
35,11,106.0909090909091,64.0,43.0,64.0,162.0,224.0,224,32,No
40,22,66.04545454545455,64.0,48.3,64.0,64.0,96.40000000000008,100,47,Yes
45,17,72.76470588235294,64.0,47.2,64.0,100.0,100.0,100,32,Yes
50,8,79.75,64.0,47.0,59.75,64.0,111.99999999999997,224,47,No
55,13,111.92307692307692,64.0,47.2,64.0,224.0,224.0,224,32,No
60,40,94.175,64.0,47.0,61.75,80.0,224.0,224,39,No
65,15,104.6,64.0,45.8,64.0,162.0,224.0,224,32,No
70,20,81.1,64.0,45.6,60.0,64.0,115.50000000000023,255,33,Yes
75,18,71.27777777777777,64.0,39.7,64.0,100.0,100.0,100,32,Yes
80,14,118.71428571428571,64.0,52.1,64.0,224.0,224.0,224,47,No
85,17,69.88235294117646,64.0,47.2,64.0,100.0,100.0,100,32,Yes
90,16,121.0625,64.0,64.0,64.0,212.75,224.0,224,47,No
95,45,76.35555555555555,64.0,51.0,64.0,64.0,85.60000000000005,224,32,No
100,28,88.5,64.0,46.1,64.0,64.0,224.0,224,39,No
105,55,68.81818181818181,64.0,19.0,25.5,64.0,174.40000000000018,224,19,No
110,8,70.875,64.0,58.9,64.0,73.0,100.0,100,47,Yes
115,16,67.3125,64.0,43.0,59.75,73.0,100.0,100,32,Yes
120,138,67.8768115942029,64.0,64.0,64.0,64.0,64.0,209,47,Yes
125,21,70.28571428571429,64.0,47.0,64.0,100.0,100.0,100,32,Yes
130,20,101.3,64.0,42.0,60.0,104.0,227.10000000000005,255,33,No
135,21,90.19047619047619,64.0,43.0,50.0,64.0,224.0,224,32,No
140,18,86.88888888888889,64.0,43.1,64.0,64.0,224.0,224,39,No
145,16,100.8125,64.0,45.0,59.75,131.0,224.0,224,32,No
150,15,136.66666666666666,64.0,64.0,64.0,224.0,224.0,224,64,No
155,51,77.90196078431373,64.0,51.0,64.0,64.0,100.0,224,32,No
